iter	Passed	Remaining
0	152	152012
1	155	77427
2	157	52322
3	161	40138
4	163	32583
5	165	27470
6	167	23708
7	172	21350
8	173	19125
9	175	17325
10	176	15849
11	177	14621
12	178	13587
13	180	12690
14	181	11901
15	182	11212
16	185	10701
17	186	10192
18	188	9756
19	190	9354
20	192	8956
21	193	8601
22	194	8263
23	195	7953
24	197	7683
25	202	7588
26	203	7341
27	204	7112
28	206	6930
29	208	6741
30	209	6555
31	210	6374
32	212	6220
33	214	6083
34	215	5940
35	217	5828
36	221	5754
37	222	5633
38	223	5514
39	225	5402
40	226	5295
41	229	5243
42	231	5145
43	232	5048
44	233	4957
45	236	4902
46	239	4862
47	248	4926
48	249	4845
49	250	4765
50	251	4687
51	253	4616
52	255	4561
53	266	4662
54	268	4606
55	270	4558
56	271	4497
57	279	4538
58	283	4523
59	288	4516
60	291	4480
61	292	4420
62	293	4364
63	294	4312
64	296	4262
65	297	4211
66	299	4165
67	312	4276
68	315	4261
69	320	4258
70	321	4212
71	323	4164
72	324	4117
73	325	4071
74	326	4026
75	333	4060
76	336	4033
77	337	3992
78	339	3954
79	340	3913
80	341	3878
81	346	3880
82	348	3844
83	350	3819
84	351	3789
85	353	3753
86	354	3719
87	355	3686
88	356	3653
89	361	3654
90	367	3673
91	371	3670
92	377	3683
93	381	3674
94	382	3641
95	383	3609
96	384	3579
97	385	3548
98	386	3521
99	388	3493
100	390	3476
101	394	3475
102	397	3465
103	400	3446
104	401	3419
105	403	3400
106	406	3392
107	407	3368
108	409	3343
109	410	3318
110	411	3293
111	412	3269
112	413	3245
113	414	3221
114	415	3197
115	416	3173
116	418	3160
117	420	3145
118	426	3154
119	428	3143
120	429	3122
121	430	3099
122	434	3099
123	436	3085
124	437	3064
125	439	3047
126	440	3027
127	441	3008
128	442	2989
129	443	2970
130	444	2951
131	446	2932
132	447	2918
133	450	2911
134	456	2922
135	458	2911
136	459	2893
137	461	2882
138	465	2886
139	467	2873
140	469	2857
141	470	2840
142	471	2827
143	473	2812
144	474	2797
145	479	2804
146	484	2814
147	487	2804
148	488	2789
149	489	2774
150	493	2774
151	495	2764
152	496	2749
153	497	2735
154	499	2720
155	500	2705
156	501	2690
157	502	2675
158	503	2661
159	504	2647
160	505	2635
161	507	2627
162	511	2624
163	515	2628
164	518	2622
165	519	2609
166	522	2608
167	524	2597
168	525	2585
169	527	2573
170	528	2561
171	529	2548
172	530	2536
173	532	2526
174	533	2515
175	535	2509
176	538	2504
177	543	2509
178	545	2502
179	546	2491
180	548	2479
181	552	2482
182	553	2471
183	554	2459
184	555	2448
185	556	2436
186	557	2424
187	559	2414
188	560	2403
189	561	2394
190	563	2388
191	565	2379
192	570	2387
193	572	2379
194	574	2372
195	575	2362
196	576	2351
197	580	2351
198	582	2344
199	583	2334
200	584	2324
201	585	2314
202	587	2304
203	588	2296
204	589	2286
205	590	2276
206	591	2266
207	595	2266
208	597	2262
209	602	2265
210	604	2261
211	605	2252
212	606	2242
213	610	2243
214	612	2236
215	613	2227
216	615	2219
217	616	2210
218	617	2201
219	618	2192
220	619	2182
221	620	2173
222	621	2165
223	624	2163
224	626	2158
225	632	2165
226	634	2161
227	636	2153
228	640	2155
229	642	2152
230	644	2144
231	645	2136
232	646	2128
233	647	2119
234	648	2111
235	649	2102
236	650	2095
237	651	2086
238	654	2084
239	657	2080
240	661	2084
241	664	2080
242	665	2072
243	666	2065
244	670	2065
245	672	2061
246	673	2053
247	674	2045
248	675	2038
249	676	2030
250	677	2022
251	678	2014
252	679	2007
253	680	1999
254	681	1991
255	684	1989
256	687	1987
257	694	1996
258	696	1991
259	701	1995
260	703	1990
261	704	1984
262	705	1977
263	706	1970
264	707	1963
265	708	1956
266	709	1949
267	711	1942
268	714	1941
269	720	1948
270	722	1944
271	724	1939
272	726	1933
273	733	1943
274	734	1935
275	735	1928
276	736	1922
277	737	1915
278	738	1908
279	740	1902
280	741	1896
281	744	1894
282	745	1888
283	750	1892
284	752	1888
285	754	1883
286	755	1877
287	761	1883
288	763	1877
289	764	1871
290	765	1865
291	766	1858
292	767	1852
293	768	1845
294	769	1839
295	770	1833
296	774	1834
297	777	1832
298	780	1830
299	783	1828
300	785	1823
301	786	1817
302	792	1822
303	793	1816
304	794	1809
305	795	1803
306	796	1797
307	797	1791
308	798	1785
309	799	1779
310	800	1773
311	802	1769
312	804	1765
313	808	1765
314	811	1764
315	813	1760
316	814	1754
317	815	1749
318	821	1753
319	823	1749
320	824	1743
321	825	1738
322	826	1732
323	827	1727
324	829	1721
325	830	1717
326	834	1718
327	838	1718
328	841	1716
329	843	1712
330	844	1707
331	846	1702
332	848	1699
333	849	1694
334	850	1688
335	851	1683
336	852	1677
337	853	1672
338	854	1666
339	856	1661
340	857	1656
341	861	1657
342	864	1656
343	868	1657
344	872	1655
345	873	1650
346	876	1650
347	877	1644
348	878	1639
349	880	1634
350	881	1629
351	882	1625
352	884	1620
353	885	1615
354	888	1614
355	891	1612
356	895	1613
357	897	1610
358	899	1605
359	900	1600
